IR,PI,DD,TanDelta_20,TanDelta_100,Cap_TipUp
24.50,5.17,0.37,4.541,4.361,1.61
22.61,4.72,0.89,0.875,0.989,0.15
4.48,5.09,2.60,2.342,2.497,0.19
26.70,2.89,0.74,1.220,1.290,-0.02
19.20,4.87,0.37,2.443,2.288,1.33
1.52,1.74,6.24,2.360,2.490,0.02
19.70,4.43,1.06,4.894,7.179,3.90
13.00,2.38,1.50,5.850,7.030,2.82
23.70,7.14,0.86,2.337,4.170,1.71
0.30,1.28,7.39,6.624,6.539,0.16
4.76,3.26,9.22,4.110,4.290,0.18
7.54,4.75,1.43,2.460,3.254,1.86
3.24,1.62,1.38,1.346,2.839,1.78
4.22,5.66,0.66,1.409,1.800,0.34
5.71,4.55,1.59,3.440,3.420,0.04
28.40,5.08,0.33,0.461,2.199,3.04
7.01,3.92,0.33,0.635,0.651,0.02
1.49,3.67,1.97,1.023,1.127,-0.15
8.90,4.26,0.36,3.170,2.338,3.35
14.20,5.02,1.24,1.381,1.479,0.03
68.10,6.39,0.21,1.796,2.071,0.79
16.80,4.10,0.62,0.735,0.886,0.13
4.63,5.30,1.33,1.593,1.897,0.36
40.20,12.80,0.32,1.374,1.683,0.70
