IR,PI,DD,TanDelta_20,TanDelta_100,Cap_TipUp
31.00,6.24,0.63,4.761,6.775,4.09
11.90,6.40,1.12,7.203,8.740,3.39
25.50,4.52,0.55,4.764,6.740,3.51
6.75,3.64,1.47,7.520,9.090,3.34
13.09,5.52,1.06,6.166,7.899,3.50
0.32,1.46,5.36,4.621,5.772,1.44
45.00,6.75,0.60,2.172,4.415,2.23
19.50,2.80,0.99,5.037,5.092,2.59
17.70,2.26,0.53,0.932,1.819,0.94
11.40,2.41,0.40,1.348,1.404,0.07
18.20,2.84,0.30,0.889,0.927,0.02
42.80,3.15,0.24,0.669,0.690,0.03
29.20,5.21,0.24,0.693,0.720,0.03
21.90,4.98,0.29,0.987,1.038,0.04
19.30,5.40,0.35,1.083,1.115,0.04
13.54,3.28,0.78,1.276,1.569,0.30
1.85,2.41,3.89,3.278,3.718,0.56
4.18,3.42,2.82,1.433,1.529,0.08
25.90,6.49,0.50,0.627,0.784,0.15
14.70,4.59,0.79,0.720,0.830,0.14
31.80,8.74,0.51,0.771,1.362,0.60
9.35,3.75,1.25,1.016,1.330,0.32
23.50,5.42,1.69,0.791,0.817,-0.08
0.96,2.81,6.31,3.269,3.419,0.21
12.30,2.60,0.70,1.414,1.809,0.47
15.41,6.79,0.83,1.132,1.313,0.18
8.83,3.95,1.17,1.207,1.488,0.25
14.76,3.94,0.91,0.787,0.866,0.10
12.46,4.81,0.93,1.327,1.429,0.14
9.22,2.48,1.08,1.250,1.372,0.14
15.60,5.18,0.75,1.023,1.219,0.26
45.60,3.29,0.77,0.975,1.131,0.21
11.20,2.98,1.41,1.639,1.980,0.40
14.41,3.55,0.72,0.819,1.030,0.26
10.69,5.38,1.01,0.988,1.175,0.25
13.20,4.38,0.86,1.479,1.605,0.17
20.90,5.66,0.62,0.632,0.742,0.13
4.66,2.69,1.11,0.775,0.878,0.12
4.03,3.68,2.59,2.346,2.556,0.33
12.00,3.55,0.86,0.984,1.197,0.24
10.77,3.75,1.01,1.392,1.606,0.26
14.72,6.63,0.82,1.150,1.270,0.12
7.61,3.17,1.46,2.097,2.249,0.16
8.90,3.33,0.96,1.155,1.318,0.20
4.68,2.48,0.80,1.075,1.170,0.13
12.40,4.14,0.82,0.987,1.162,0.22
2.38,9.23,4.77,1.380,1.580,0.28
8.48,4.04,0.96,0.993,1.163,0.18
13.40,5.08,1.00,1.149,1.306,4.69
4.26,4.60,2.97,1.831,1.992,0.27
13.90,4.35,0.86,0.923,1.113,0.24
3.98,2.15,1.59,2.040,2.080,1.02
30.00,4.10,1.34,1.524,2.013,1.10
30.70,2.44,0.26,1.155,1.391,0.35
8.14,2.07,0.81,2.311,2.502,0.22
2.66,17.10,3.69,0.790,0.913,0.14
11.20,8.88,0.53,3.404,3.409,1.19
24.10,4.92,0.48,1.410,2.110,0.55
8.90,2.78,0.97,0.790,0.913,0.14
2.20,6.59,5.70,3.580,3.650,-0.05
25.10,5.57,0.50,0.635,0.910,0.26
27.40,4.37,0.48,0.581,0.674,0.10
1.48,3.54,9.40,12.233,11.588,0.17
1.85,4.56,8.46,7.969,7.627,0.00
